author_repo,wf_contents,security_policy
lampepfl/dotty,Dotty' 'active' '563313' 'Scala CLA' 'active' '3647090' 'scaladoc' 'active' '5502443' 'Releases' 'active' '15789884' 'Language reference documentation' 'active' '24024290' 'Update Dependency Graph' 'active' '31534056' 'Scala3doc' 'disabled_manually' '3148692' '.github/workflows/pandoc.yaml' 'disabled_manually' '6310750,
exaloop/codon,Codon CI' 'active' '13868010,
alangpierce/sucrase,All tests' 'active' '4592987' 'Post performance comparison comment on PR' 'active' '4863311' 'pages-build-deployment' 'active' '23419478,
red/red,Windows' 'active' '28942' 'RPi' 'active' '13785479' 'Linux-x86' 'active' '13793373,
apache/groovy,Java CI' 'active' '223657' 'Build and test (classic and indy)' 'active' '1818738' 'Distribute Groovy SNAPSHOT' 'active' '882219' 'Validate Gradle Wrapper' 'active' '435780' 'Grails Joint Validation Build' 'active' '1717706' 'Build and test for coverage' 'active' '43232320' 'Distribute SNAPSHOT' 'active' '15003910' 'Build and test 19' 'active' '35789170' 'Build and test additional JDK versions' 'active' '39004378' 'Build and test ea' 'active' '28924749' 'Build and test main JDK versions' 'active' '39004379' 'Build and test' 'active' '15003911' 'Check licenses' 'active' '38741561' 'Micronaut Joint Validation Build' 'active' '3706131,SSuuppppoorrtteedd VVeerrssiioonnss' 'The latest released version in the Groovy x stream of releases is the' 'currently recommended version of Groovy and requires JDK as a minimum' 'The latest released version in the Groovy x stream of releases is the' 'currently recommended version of Groovy if you require access to the legacy' 'parser or legacy packages of classes whose packages were renamed due to split' 'package remediation GROOVY' 'The latest released version in the Groovy x stream is recommended where' 'JDK is required' 'VVeerrssiioonn  SSuuppppoorrtteedd CCoommmmeenntt' ' x ' 'x             Only severecritical vulnerabilities ' 'x             Reduced releases on this branch' 'x    ' 'x    ' 'x               Prerelease status ' ' The x stream is no longer the focus of the core team but critical' 'security fixes or community contributions may lead to additional releases' ' While in early stages of prerelease security fixes are done on a best' 'effort basis' 'LLiisstt ooff SSeeccuurriittyy VVuullnneerraabbiilliittyy FFiixxeess' 'The Groovy website has a list of Security fixes applicable to Groovy  and' 'above versions released since moving to Apache' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Apache Groovy follows the Apache general guidelines for handling security' 'vulnerabilities
opal/opal,build' 'active' '381033,
ballercat/walt,pages-build-deployment' 'active' '44421360,
hylang/hy,Perform static analysis on Python files' 'active' '18121579' 'Run tests' 'active' '9156704,
scala-js/scala-js,CLA' 'active' '215601' 'CLA' 'active' '19002,
gleam-lang/gleam,CI' 'active' '139511' 'ci' 'active' '2444836' 'release' 'active' '2941434' 'release-containers' 'active' '5411782' 'release-nightly' 'active' '24298193,
scala-native/scala-native,Build docs' 'active' '14980752' 'Check CLA' 'active' '3246237' 'Check Lint' 'active' '3246238' 'Publish' 'active' '39179059' 'Run tests JDK compliance tests' 'active' '19619906' 'Run tests Linux multiarch' 'active' '17294067' 'Run tests Linux' 'active' '13741644' 'Run tests MacOs' 'active' '13741645' 'Run tests Windows' 'active' '8416214,
ocaml/ocaml,Build' 'active' '5699808' 'Hygiene' 'active' '5699807' 'main' 'active' '3744957' 'main' 'active' '1881767' 'Close stale issues' 'active' '1206887,
yoav-lavi/melody,clippy' 'active' '21256933' 'coverage' 'active' '21257300' 'miri' 'active' '21732329' 'rust' 'active' '20140672' 'pages-build-deployment' 'active' '20137140,
mint-lang/mint,CI' 'active' '7118704,
evhub/coconut,CodeQL' 'active' '15426968' 'Coconut Test Suite' 'disabled_manually' '10748844' 'Coconut Test Suite' 'active' '10752080' 'pages-build-deployment' 'active' '35799847,
odin-lang/Odin,CI' 'active' '52010' 'CI' 'active' '234952' 'Nightly' 'active' '1003267' 'Close Stale Issues & PRs' 'active' '30911181,
google/mtail,OSS-Fuzz' 'active' '3916242' 'Automatic pull request approvals' 'active' '3942525' 'dependabot-auto-merge' 'active' '3963477' 'CodeQL' 'active' '4290993' 'golangci-lint' 'active' '4291140' 'Close stale issues' 'active' '4455620' 'CI' 'active' '4461240' 'benchmark' 'active' '4481420' 'Comment benchmark results on a PR' 'active' '4643421' 'Comment CI test results on PR' 'active' '4643422' 'release' 'active' '4982687' 'pages-build-deployment' 'active' '17174368,We use httpsgcovulnz for our intake and triage For valid issues we will' 'do coordination and disclosure here on GitHub including using a GitHub' 'Security Advisory when necessary' 'The Google Security Team will process your report within a day and respond' 'within a week although it will depend on the severity of your report
dotnet/fsharp,Add all issues and PRs to F# project' ' assign milestone and labels' 'active' '36809693' 'Backport PR to branch' 'active' '36810701' 'Commands on PR' 'active' '39180736,
asmjit/asmjit,Build' 'active' '3411532,
MoOx/phenomic,,
sdiehl/write-you-a-haskell,,
ballerina-platform/ballerina-lang,.github/workflows/daily_build.yml' 'active' '1409591' 'CI Ubuntu/Windows' 'active' '1467330' 'Publish release' 'active' '5212177' 'Close stale pull requests' 'active' '6401131' '(Manually) Publish Timestamped Snapshot Artifacts' 'active' '6891850' 'CI Ubuntu' 'active' '10481980' 'CI Windows' 'active' '10481981' '1.2.x Windows Tests (Without Integration Tests)' 'active' '11416627' '1.2.x Ubuntu Tests (Without Integration Tests)' 'active' '11416628' '1.2.x Integration Tests' 'active' '11416629' '1.2.x Build without Tests' 'active' '11416630' 'Push Ballerina Observe Package to Central' 'active' '14097675' 'Language Server Simulator' 'active' '15636261' '.github/workflows/add_reason_labels.yml' 'active' '20793927' 'Trivy' 'active' '20854506' 'Publish Timestamped Snapshot Artifacts' 'active' '22368377' 'Publish Timestamped Snapshot Artifacts (master)' 'active' '24222553' 'Daily spec conformance test runner' 'active' '25115749' 'CI Full Build Ubuntu' 'active' '25481502' '(Nightly) Publish Timestamped Snapshot Artifacts' 'active' '30619700' 'Build master' 'active' '31410255' 'Add issue labels' 'active' '33246096,Ballerina project maintainers take security issues very seriously and all the' 'vulnerability reports are treated with the highest priority and' 'confidentiality' '     IIMMPPOORRTTAANNTT Please use the sseeccuurriittyybbaalllleerriinnaaiioo mailing list to' '     report all securityrelated issues' 'For more information on the Security Policy of Ballerina go to the Security' 'Policy
GetFirefly/firefly,x86_64-unknown-linux-gnu Libraries' 'active' '1273102' 'x86_64-apple-darwin Runtime Full' 'active' '1273105' 'x86_64-unknown-linux-gnu Runtime Full' 'active' '1273106' 'x86_64-apple-darwin compiler' 'active' '1273108' 'x86_64-apple-darwin Libraries' 'active' '1273109' 'x86_64-unknown-linux-gnu compiler' 'active' '1723260' 'x86_64-apple-darwin firefly/otp' 'active' '33306621' 'x86_64-unknown-linux-gnu firefly/otp' 'active' '33306622,
parcel-bundler/lightningcss,release-crates' 'active' '24182032' 'release' 'active' '15259549' 'test' 'active' '18013390,
eclipse-openj9/openj9,Assign labels to project' 'active' '3407333' 'Assign labels to project' 'active' '2779520' 'Auto test PR' 'active' '5707018' 'Linter' 'active' '4937401' 'Remove autoTestPR branch' 'active' '5707019' 'PR Comment Build Action for openj9' 'active' '10265441,Eclipse OpenJ follows the Eclipse Vulnerability Reporting Policy' 'Vulnerabilities are tracked by the Eclipse OpenJ project leads or by the' 'Eclipse security team in cooperation with the OpenJ project leads Fixing' 'vulnerabilities is taken care of by the OpenJ project committers' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'Eclipse OpenJ supports security updates only in upcoming OpenJ releases' 'Since OpenJ currently uses a single stream to support the Long Term Support' 'LTS releases of Java   and  as well as the feature releases fixes to' 'the single OpenJ stream will be available in each of the next Java releases' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'In case of suspected vulnerabilities we recommend that you do not use the' 'OpenJ public issue tracker but instead contact an Eclipse OpenJ project lead' 'via the OpenJ Slack join here and a private channel will be created for the' 'discussion Or contact the Eclipse Security Team via securityeclipseorg' 'The project leads will ensure that a private bugzilla issue is created for any' 'confirmed vulnerability to track the fixing of said issue
d5/tengo,release' 'active' '1363199' 'test' 'active' '1363105,
emojicode/emojicode,,
llvm-mirror/clang,,
crosire/reshade,,
google/fully-homomorphic-encryption,Test all dockerfiles' 'active' '43698524,We use httpsgcovulnz for our intake and triage For valid issues we will' 'do coordination and disclosure here on GitHub including using a GitHub' 'Security Advisory when necessary' 'The Google Security Team will process your report within a day and respond' 'within a week although it will depend on the severity of your report
grain-lang/grain,Grain CI Workflow' 'active' '997719' 'Publish Docker images' 'active' '2602921' 'Release' 'active' '8311160,
gluon-lang/gluon,.github/workflows/release.yml' 'active' '13805695' 'ci' 'active' '13804477,
dlang/dmd,DMD C++' 'active' '3830797' 'Linux CI' 'active' '14332947' 'macOS CI' 'active' '14332948' 'build-nightly' 'active' '8679842' 'pre_commit' 'active' '21166152' 'C++ interop tests' 'active' '869024' 'Windows CI' 'active' '14330209,
QQuick/Transcrypt,,
quickjs-zh/QuickJS,,
bytecodealliance/cranelift,,
amilajack/reading,,
KhronosGroup/glslang,Continuous Deployment' 'active' '15815073' 'Continuous Integration' 'active' '15815074,
tetratelabs/wazero,Test' 'active' '13733519' 'Examples' 'active' '15266078' 'Fuzz' 'active' '41827024' 'internal-images' 'active' '29673970' 'WebAssembly Core Specification Test' 'active' '25855398,
wasp-lang/wasp,CI' 'active' '3576552' 'pages-build-deployment' 'active' '16617776,SSuuppppoorrtteedd VVeerrssiioonnss' 'List of versions that are receiving security updates' 'We are currently in preproduction stage so only the latest major release is' 'receiving security updates' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please report any vulnerabilities at hiwasplangdev 
thedodd/trunk,CI' 'active' '2343949' 'Manual Brew' 'active' '29329925' 'Pages' 'active' '5517172' 'Release' 'active' '2563026' 'pages-build-deployment' 'active' '20699754,
facebookincubator/cinder,Tests' 'active' '7927317' 'TestsMSI' 'active' '7927318' 'Docs' 'active' '7927320' 'Cinder OSS Build and Test' 'active' '8534073' 'Mark stale pull requests' 'active' '37287650' 'Create and publish a Docker image' 'disabled_manually' '23515190,SSuuppppoorrtteedd VVeerrssiioonnss' 'The Python team applies security fixes according to the table in the devguide' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please read the guidelines on reporting security issues on the official website' 'for instructions on how to report a securityrelated problem to the Python team' 'responsibly' 'To reach the response team email security at python dot org
ispc/ispc,Nightly Linux tests / LLVM trunk' 'active' '1806619' 'Rebuild LLVM 11.1' 'active' '2984176' 'Linux benchmarks / LLVM 13.0' 'active' '3827036' 'Check code formatting' 'active' '3977404' 'Tests' 'active' '4473626' 'Docs check' 'active' '7415983' 'Rebuild LLVM 12.0' 'active' '8312562' 'Rebuild LLVM 13.0' 'active' '11966297' 'SVML' 'active' '13756198' 'Rebuild LLVM 14.0' 'active' '22484967' 'Nightly tests / LLVM 15.0' 'active' '24572292' 'Reusable LLVM rebuild' 'active' '29260778' 'Rebuild LLVM 15.0' 'active' '33205683' 'Check copyright' 'active' '43704931,Intel is committed to rapidly addressing security vulnerabilities affecting our' 'customers and providing clear guidance on the solution impact severity and' 'mitigation' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please report any security vulnerabilities in this project utilizing the' 'guidelines here
beefytech/Beef,,
erg-lang/erg,Release' 'active' '36193163' 'Rust' 'active' '32101258,SSuuppppoorrtteedd VVeerrssiioonnss' 'Erg does not guarantee any compatibility during x Although we do not plan to' 'make destructive changes that often' 'Security updates are only made through version updates' 'VVeerrssiioonn SSuuppppoorrtteedd' 'latest  ' 'other   
grame-cncm/faust,MacOS' 'active' '5968377' 'Ubuntu' 'active' '5968378' 'Windows' 'active' '5968379,
ryanmjacobs/c,,
tweag/asterius,pipeline' 'active' '1412711' 'shell' 'active' '11848407' 'docs' 'active' '17815569' 'shell' 'active' '18172117' 'bazel' 'active' '18310480,
bytenode/bytenode,Test' 'active' '7489468,
idris-lang/Idris2,macOS Chez' 'active' '1371632' 'Lint the sources' 'active' '5028820' 'Lint Code Base' 'active' '5068589' 'Sphinx' 'active' '10855823' 'Idris2' 'active' '10865863' 'Bootstrap' 'active' '13339181' 'pages-build-deployment' 'active' '24528167,
diku-dk/futhark,CI' 'active' '1299970' 'Release' 'active' '1545999,
bakpakin/Fennel,,
thepowersgang/mrustc,C/C++ CI' 'active' '12833071,
Rust-GCC/gccrs,GCC Rust build and test' 'active' '1007900' 'Clang Format Lint' 'active' '4738341' 'GCC Bootstrap Build' 'active' '7515431' 'Remark' 'active' '9053418' 'Build Docker image' 'active' '12105520' 'Remark' 'active' '14985893,
pytorch/xla,pages-build-deployment' 'active' '18138303,
nebuly-ai/nebullvm,Run tests' 'active' '28428999,
ghdl/ghdl,Test' 'active' '5465717' 'MSYS2' 'active' '4505305' 'push' 'active' '72866' 'pages-build-deployment' 'active' '16513920,
HikariObfuscator/Hikari,,
ccache/ccache,Build' 'active' '2289087' 'CodeQL' 'active' '4830172,
Maratyszcza/PeachPy,,
vnmakarov/mir,AMD64-Linux-OSX-Windows-test' 'active' '4147399' 'AMD64-Linux-bench' 'active' '4147667' 'aarch64-test' 'active' '4146730' 'build' 'active' '365934' 'ppc64le-test' 'active' '4147181' 'riscv64-test' 'active' '21147916' 's390x-test' 'active' '4144284' 'test' 'active' '365935,
jphp-group/jphp,,
sbcl/sbcl,CL-host' 'active' '3665' 'Linux' 'active' '3666' 'Mac' 'active' '3667' 'Windows' 'active' '82,
shining1984/PL-Compiler-Resource,,
TypeScriptToLua/TypeScriptToLua,CI' 'active' '5240' 'Release' 'active' '113748,
jfecher/ante,Rust' 'active' '10346617' 'pages-build-deployment' 'active' '20618329,
elixirscript/elixirscript,,
